"ptt","year","dep_brgr","dep_UK","dep_euna_sb","fin_sah_sb","arr_wgr_a","arr_wgr_b","dep_wgr_b","dep_wgr_a","dep_wa_a","dep_wa_b","dep_wa","fin_sah_nb","arr_UK","arr_brgr","br_hab","mig_dir","dep_brgr_TS","min_lat_stopover","any_so_s_europe_sbound","lat_last_euro_so_sbound","last_wa_fix_long","last_wa_fix_lat","last_wa_sos_long","last_wa_sos_lat","br_lat","br_long","first_fix_TS","dep_UK_TS","fin_sah_sb_TS","arr_wgr_a_TS","arr_wgr_b_TS","dep_wgr_b_TS","min_lat_stopover_id","dep_wgr_a_TS","dep_wgr_a_TS_ford1plot","dep_wa_TS","arr_UK_TS","arr_brgr_TS","last_fix_TS","region","mig_dir_3cat","outcome","last_milestone_pre_death","died_this_cycle","season_died","died_after_ms2","age_at_ring","known_age","known_age_binary","cycles_since_tagging_4s","cycles_since_tagging"
"50017",2018,162,162,190,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2018-06-11 08:57:03",NA,FALSE,47.82414,NA,NA,NA,NA,50.8822087453875,-1.66905904059041,"2018-05-22 15:27:08","2018-06-12 08:57:03","2018-07-12 18:52:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-10-03 20:19:04","New Forest","C","UB","fin_sah_sb",TRUE,"Autumn",FALSE,4,NA,NA,0,0
"50023",2018,160,170,216,220,311,NA,368,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2018-06-09 10:51:48",-4.027775,TRUE,31.29259,NA,NA,NA,NA,53.2174547222222,-1.06482,"2018-05-31 20:25:24","2018-06-20 18:41:47","2018-08-08 05:45:13","2018-11-08 07:12:56","2018-12-14 19:44:42","2019-03-03 20:56:59",17,NA,"2019-03-08 05:05:14",NA,NA,NA,"2019-03-08 05:05:14","Sherwood Forest","SW","M","dep_wgr_b",TRUE,"Spring",FALSE,5,1,0,NA,0
"50024",2018,160,160,NA,194,253,307,NA,418,454,NA,464,NA,NA,NA,"Lowland",NA,"2018-06-09 21:50:03",-6.62705,TRUE,46.44176,-2.62054,7.02068,-2.74832,6.5282,50.8850246808511,-1.65483053191489,"2018-05-22 08:15:51","2018-06-10 21:50:03","2018-07-13 17:55:23","2018-09-12 04:04:25","2018-11-03 02:34:08","2018-09-16 16:09:15",28,"2019-02-23 19:24:54","2019-02-19 08:35:42","2019-03-31 09:03:51",NA,NA,"2019-04-11 07:24:00","New Forest","C","M","dep_wa",TRUE,"Spring",FALSE,4,NA,NA,0,0
"50026",2018,182,182,216,220,307,311,398,NA,NA,NA,473,480,486,486,"Lowland","SW","2018-07-01 06:07:13",-0.23968,TRUE,42.016075,-11.87271,11.14205,-9.21624,9.4353,52.515259109462,1.62061698824985,"2018-05-12 06:43:13","2018-07-02 06:07:13","2018-08-08 18:11:19","2018-11-04 20:56:09","2018-11-07 03:18:39","2019-02-04 03:00:01",47,"2019-03-14 21:38:59","2019-03-01 05:43:13","2019-04-18 09:29:36","2019-05-01 21:54:10","2019-05-01 21:54:10","2021-02-26 08:51:51","Norfolk Broads","SW",NA,NA,FALSE,NA,FALSE,4,NA,NA,0,0
"50026",2019,183,183,208,218,308,339,415,NA,469,471,469,NA,476,480,"Lowland","SW","2019-07-02 20:11:49",-0.83841,TRUE,42.00963,-7.73357,8.99199,-7.728225,8.981885,52.515259109462,1.62061698824985,"2018-05-12 06:43:13","2019-07-03 20:11:49","2019-08-06 23:20:09","2019-11-06 08:56:22","2019-12-05 19:52:33","2019-11-08 09:54:13",58,"2020-03-08 04:26:37","2020-02-21 05:16:51","2020-04-11 05:48:33","2020-04-20 17:21:07","2020-04-24 16:33:59","2021-02-26 08:51:51","Norfolk Broads","SW",NA,NA,FALSE,NA,FALSE,4,NA,1,1,1
"50026",2020,184,184,245,250,317,352,366,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2020-07-02 10:41:16",-1.50828,TRUE,43.390295,NA,NA,NA,NA,52.515259109462,1.62061698824985,"2018-05-12 06:43:13","2020-07-03 10:41:16","2020-09-06 07:10:22","2020-11-15 21:20:18","2020-12-17 20:01:28","2021-02-21 20:44:01",74,NA,"2021-02-26 08:51:51",NA,NA,NA,"2021-02-26 08:51:51","Norfolk Broads","SW","UB","dep_wgr_b",TRUE,"Spring",FALSE,4,NA,1,2,2
"50031",2018,171,171,211,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2018-06-20 20:41:45",NA,TRUE,40.55427,NA,NA,NA,NA,52.490040962963,0.491382814814815,"2018-06-03 07:44:24","2018-06-21 20:41:45","2018-08-05 04:40:42",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-08-19 18:24:50","Thetford Forest","SW","M","fin_sah_sb",TRUE,"Autumn",FALSE,4,NA,NA,0,0
"50032",2018,164,164,201,207,258,272,362,NA,NA,NA,464,470,487,487,"Lowland","SW","2018-06-13 02:52:15",-2.51977,TRUE,31.50961,-3.84665,7.64645,-3.919565,7.746685,52.5054208557457,0.605940880195599,"2018-06-03 14:49:47","2018-06-14 02:52:15","2018-07-26 17:54:11","2018-09-16 20:16:01","2018-09-29 19:57:54","2018-09-19 02:48:14",91,"2019-01-31 05:50:26","2019-01-22 14:50:21","2019-04-04 21:06:34","2019-05-02 21:36:18","2019-05-02 21:36:18","2019-07-24 19:24:21","Thetford Forest","SW",NA,NA,FALSE,NA,FALSE,4,NA,NA,0,0
"50032",2019,171,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowland","SW","2019-06-20 19:27:33",NA,TRUE,44.01047,NA,NA,NA,NA,52.5054208557457,0.605940880195599,"2018-06-03 14:49:47","2019-06-23 06:38:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-07-24 19:24:21","Thetford Forest","SW","UC","dep_UK",TRUE,"Autumn",TRUE,4,NA,1,1,1
"50042",2018,170,170,NA,207,278,280,351,427,461,465,464,469,480,480,"Lowland","SE","2018-06-19 05:07:27",-0.695865,TRUE,45.135995,-5.659,13.127,-4.036345,7.695935,53.2144337010676,-1.08869323843416,"2018-05-15 11:10:07","2018-06-20 05:07:27","2018-07-26 16:48:00","2018-10-07 06:47:50","2018-10-07 06:47:50","2019-02-21 18:59:13",110,"2019-03-04 17:01:03","2019-02-28 21:25:51","2019-04-09 03:52:34","2019-04-25 21:39:12","2019-04-25 21:39:12","2019-06-19 16:33:57","Sherwood Forest","SE","M","arr_brgr",TRUE,"Spring",FALSE,4,NA,NA,0,0
